,videoid,views,like,dislike,description,title
0,aKQHZfDAAvk,6894652,139513,4545,6lunchBoxRiceRecipeBykabita #LunchBoxrecipeByKabita #KabitasKitchen हर रोज़ सुबह क्या बनाए टिफिन के लिए ? यही टेंशन हर घर में होता ...,६ आसान और झटपट राइस टिफिन के लिए |  Rice Recipe for Lunch Box | Lunch Box Recipe | KabitasKitchen
1,VU6aCPQPucM,425938,9259,176,aloo fry recipe | alu fry recipe | potato masala fry 3 ways | potato fry crispy with detailed photo and video recipe. one of the simplest and easy side dish recipes ...,quick &amp; simple aloo fry recipe for lunch box 3 ways | kurkure potato masala fry | easy potato recipe
2,RdmafPeGO-c,1855365,45630,1207,6lunchBoxRiceRecipeBykabita #LunchBoxrecipeByKabita #KabitasKitchen #RiceRecipeByKabitasKitchen हर रोज़ सुबह क्या बनाए टिफिन के लिए ?,६ आसान और झटपट राइस टिफिन के लिए |  Rice Recipe for Lunch Box | Lunch Box Recipe | KabitasKitchen
3,Ip-aOdj-PIo,1052152,12522,468,Onion Chapathi|Onion parata|how to Make Onion parata|Pyaza Ki Parata|Pyaz Ki Chapathi\Soft Chapathi Recipe For Complete Recipe and To Purchase Our ...,ONION CHAPATI|Easy Soft Chapati|Best recipe for Lunch box|ఉల్లిపాయ చపాతీ|Onion Parata|VismaiFood
4,X83aePgWCrM,3478655,53629,1252,malai kofta recipe | malai kofta curry | creamy kofta balls curry with detailed photo and video recipe. an extremely popular and tasty north indian creamy curry ...,malai kofta &amp; garlic naan recipe for lunch | quick &amp; easy dinner recipe | tasty north indian meal
5,893kl1uDDqs,381,48,0,,Simple Recipe for Lunch||5 minute Recipe||jasi&#39;s feast||ചോറിനൊപ്പം ഈ ഒരു കറി മാത്രം മതി||easy&amp;tasty
6,iMTBIp8ib5A,1520148,33870,952,"Thanks for watching and don't forget to LIKE, SHARE & COMMENT!! XoXo Nisa DISCLAIMER: Do not have this drink if you are allergic to any of the ingredients ...",Weight Loss Salad Recipe For Lunch - Diet Plan To Lose Weight Fast -Indian Veg Meal | Skinny Recipes
7,oHIZ87cYC74,1115409,24672,386,"Thanks for watching and don't forget to LIKE, SHARE & COMMENT!! XoXo Nisa DISCLAIMER: Do not have this drink if you are allergic to any of the ingredients ...",Weight Loss Salad Recipe For Lunch/Dinner - Indian Veg Meal - Diet Plan To Lose Weight Fast
8,AUBeY3IjavA,279543,1490,314,Masala Aloo Recipe | मसाला आलू रेसिपी | This Indian recipe of dry potatoes is spicy and flavorful. Ideal to spice up your Lunch and Dinner | this recipes ...,"Masala Aloo Recipe | मसाला आलू रेसिपी | Spicy Potato Recipe for Lunch, Dinner | Recipes in Hindi"
9,Xj0P4vT58dw,13853,569,23,Dehradunvlogger #Indianyoutuber #Mixdaalrecipe Music used from you tube audio library. My yoga routine-https://youtu.be/vLzpa0W4RVM My introduction ...,ये Tip मुझे बहुत अच्छी लगी ☺Mix Daal Recipe For Lunch!! Dehradun Vlogs
10,LKyDPOOAvEg,84089,852,53,Learn how to make Corn Rice Recipe with Chef Seema only on Swaad Anusaar Left over rice from the night can take any form for the morning breakfast or lunch ...,Corn Rice Recipe In Hindi | Quick &amp; Easy Rice Recipe For Lunch | Swaad Anusaar With Seema
11,ozXWmjqs3Rg,7281,36,4,Welcome my channel : Amazing Food Please subscribe like comment & share to watching more video Thank you!!!,Amazing Girl Cooking Snail Recipe For Lunch And Eating Delicious
12,MSxGHk4WIWQ,76883,850,140,Prohibited: All videos are owned by (My Natural Food). Please don't re-upload if you don't want to get any copyright issues. Thank you for watching My videos ...,Life skills: Yummy Frog curry recipe for Lunch in the Forest - My Natural Food Ep 17
13,e3RwOCvz_zg,449,9,0,"S.Sudarsanam, sudarsanam@pvewealthcreators.com, 9840878799 #AvalMilaguKulambusadam #Avallunchrecipe #Avalrecipe ...",Aval Milagu Kulambu Sadam | அவல் மிளகு குழம்பு சாதம் | |Aval Recipe for lunch |Iyengar veetu samayal
14,eT5czyqB8F4,180,25,0,Button Aloo Recipe in Telugu Baby Aloo - Baby Potato recipe for Lunch Box #babyaloo #buttonaloo #vegcurry #cookingrecipe #manikanta ...,Button Aloo Recipe in Telugu | Baby Aloo - Baby Potato recipe for Lunch Box
15,ubTtRQrTHGg,175586,644,69,Learn how to prepare Soya Fry exclusively on Gowri Samayalarai. Soya is Healthy and which can be made quickly & easily with less ingredients. Ingredients: ...,Soya  Fry | Quick Recipe For Lunch Box | Gowri Samayalarai
16,BiYWE3phvY4,98,31,0,,മാങ്ങ ചമ്മന്തി#easy raw mango recipe for lunch#short
17,mNnMpBlQAoM,11176,252,20,nammaadugenimmaruchi #kannadarecipes #ricerecipe #lunchboxrecipe #breakfastrecipe #breakfast.,"ಲಂಚ್ ಬಾಕ್ಸ್, ಬ್ರೇಕ್ ಫಾಸ್ಟ್ ಗೆ ದಿಡೀರ್ ರೈಸ್ ರೆಸಿಪಿ |  Rice Recipe for Lunch Box &amp; Breakfast"
18,HcsREm5f_Ds,34615,1781,118,Vlog With 2 Easy Recipe For Lunch and Dinner | matar gobi Aloo | Arvi ki sabzi | Naziya shaikh vlog #easyrecipeforlunchanddinner #matargobialoorecipe ...,Vlog With 2 Easy Recipe For Lunch and Dinner | matar gobi Aloo | Arvi ki sabzi | Naziya shaikh vlog
19,URr4EN-UJes,34,8,0,"Veg Power Bowl - No Oil, healthy and nutritious - Perfect recipe for lunch/dinner Ingredients - For preparing Black Beans: Black Beans - 1.5 Cup Water for ...","Veg Power Bowl - No Oil, healthy and nutritious - Perfect recipe for lunch/dinner"
20,nWAkXif0RaQ,81,22,0,How To Make Easy And Quick recipe for Lunch?,How To Make Easy And Quick recipe for Lunch?
